Foundation,Layer,Feature_ID,Cosine_Similarity,Rank_in_Layer
authority,16,122008,0.20282188,1
authority,28,106785,0.19721487,1
authority,16,10095,0.18894859,2
authority,16,66424,0.18276149,3
authority,20,46113,0.16040184,1
authority,4,8682,0.15256773,1
authority,20,68970,0.15185118,2
authority,28,17489,0.14825755,2
authority,4,50293,0.14730646,2
authority,20,6127,0.14441112,3
authority,28,106396,0.14219041,3
authority,28,23895,0.13944967,4
authority,24,59895,0.13793087,1
authority,20,49963,0.13615917,4
authority,16,42641,0.13411859,4
authority,24,17839,0.13147776,2
authority,24,90226,0.13130178,3
authority,16,99531,0.13113315,5
authority,8,88589,0.13111913,1
authority,28,78488,0.12997352,5
authority,16,33946,0.12748341,6
authority,4,47833,0.12657481,3
authority,8,90907,0.12612374,2
authority,28,128684,0.12582654,6
authority,8,70939,0.12532976,3
authority,16,103468,0.12505636,7
authority,16,117073,0.12427365,8
authority,4,4383,0.123251356,4
authority,16,866,0.12277267,9
authority,16,38225,0.12248202,10
authority,4,50592,0.12102242,5
authority,12,123331,0.11991695,1
authority,8,20430,0.11896371,4
authority,8,79948,0.1170168,5
authority,24,124005,0.11657466,4
authority,20,90260,0.116294675,5
authority,4,59153,0.11604236,6
authority,8,82081,0.115284175,6
authority,8,16184,0.11363241,7
authority,24,53932,0.112889275,5
authority,28,818,0.11236011,7
authority,28,120229,0.112099856,8
authority,28,1607,0.11159187,9
authority,20,83561,0.11134009,6
authority,12,79910,0.11120108,2
authority,24,37802,0.110160165,6
authority,28,2599,0.10985143,10
authority,24,91685,0.10976707,7
authority,8,27159,0.10966862,8
authority,8,110398,0.109552234,9
authority,8,124327,0.1086998,10
authority,24,57199,0.10865655,8
authority,4,63175,0.1077671,7
authority,12,78807,0.10580878,3
authority,4,99307,0.105496936,8
authority,20,117312,0.10495962,7
authority,24,38091,0.10428364,9
authority,24,6462,0.10404161,10
authority,4,66275,0.10400562,9
authority,4,50850,0.10399067,10
authority,20,13133,0.103983685,8
authority,20,37235,0.103811756,9
authority,20,38705,0.10261722,10
authority,12,26778,0.09436929,4
authority,12,8003,0.09315636,5
authority,12,25172,0.092774875,6
authority,12,18158,0.091606416,7
authority,12,47366,0.09052366,8
authority,12,119752,0.089303955,9
authority,12,64228,0.086285084,10
care,16,122008,0.31694317,1
care,16,66424,0.26070234,2
care,20,6127,0.2395471,1
care,20,46113,0.23931955,2
care,28,106785,0.22207794,1
care,24,59895,0.22023174,1
care,16,103468,0.2040087,3
care,28,106396,0.18304816,2
care,28,52046,0.18135616,3
care,28,65989,0.18083063,4
care,28,78488,0.17989871,5
care,28,17489,0.17975457,6
care,20,49963,0.1753304,3
care,28,23895,0.17525148,7
care,16,87732,0.17454123,4
care,24,11727,0.17118889,2
care,20,2272,0.16811822,4
care,16,40904,0.16756743,5
care,24,20681,0.16598217,3
care,16,128339,0.16397305,6
care,16,41465,0.16334587,7
care,24,79134,0.16254015,4
care,20,117312,0.16118082,5
care,28,88535,0.1558138,8
