Foundation,Layer,Feature_ID,Cosine_Similarity,Rank_in_Layer
authority,4,34088,0.41826117,1
authority,24,130444,0.33884665,1
authority,28,102768,0.2869739,1
authority,28,15686,0.20848277,2
authority,4,128210,0.20787969,2
authority,24,16083,0.1806533,2
authority,8,108458,0.17772214,1
authority,8,36484,0.17522366,2
authority,24,118460,0.17464133,3
authority,20,125220,0.17445244,1
authority,12,84103,0.17143439,1
authority,20,47891,0.17054981,2
authority,4,50669,0.1689313,3
authority,24,27957,0.16376811,4
authority,12,64977,0.15908669,2
authority,28,89889,0.1582066,3
authority,28,108125,0.15662716,4
authority,24,130087,0.15646651,5
authority,20,38823,0.15095504,3
authority,8,116630,0.14993867,3
authority,24,76168,0.149575,6
authority,8,31486,0.14930399,4
authority,20,73378,0.14738084,4
authority,24,60921,0.14447492,7
authority,20,34162,0.14256614,5
authority,24,3088,0.14232418,8
authority,8,45925,0.1418976,5
authority,8,12797,0.13941428,6
authority,28,93707,0.13862893,5
authority,12,23039,0.13592896,3
authority,8,18483,0.13585106,7
authority,24,97948,0.13513154,9
authority,20,95301,0.13332935,6
authority,28,73628,0.13331911,6
authority,28,114000,0.1319601,7
authority,16,7423,0.13164334,1
authority,20,99600,0.1315087,7
authority,28,2677,0.12977369,8
authority,8,39879,0.12916917,8
authority,24,2477,0.12907425,10
authority,8,23258,0.12901092,9
authority,28,64229,0.12890027,9
authority,4,27817,0.1271038,4
authority,4,86469,0.12705198,5
authority,8,113648,0.124739155,10
authority,4,65290,0.1241136,6
authority,16,198,0.123862,2
authority,16,129738,0.12322764,3
authority,16,14272,0.1227834,4
authority,16,115848,0.121840134,5
authority,4,43421,0.11732966,7
authority,20,75978,0.116947815,8
authority,20,100534,0.11636989,9
authority,20,16973,0.11569646,10
authority,4,89370,0.11553203,8
authority,16,28828,0.11522893,6
authority,4,75601,0.1151534,9
authority,4,72227,0.114893734,10
authority,12,117305,0.11414068,4
authority,16,118744,0.113984376,7
authority,16,47141,0.11295901,8
authority,28,60355,0.11175869,10
authority,12,21201,0.11120509,5
authority,12,82361,0.110422984,6
authority,12,42941,0.11023275,7
authority,16,7341,0.10934934,9
authority,12,122251,0.109194726,8
authority,12,72706,0.10648104,9
authority,16,79020,0.10636723,10
authority,12,60985,0.10617682,10
care,4,128210,0.36853242,1
care,4,34088,0.2609486,2
care,20,95301,0.26052067,1
care,20,100534,0.24962798,2
care,28,102768,0.24348056,1
care,24,16083,0.23690319,1
care,24,5545,0.2320494,2
care,28,15686,0.23167488,2
care,24,130444,0.22406618,3
care,4,27817,0.20200345,3
care,20,72703,0.17956828,3
care,20,73378,0.17536634,4
care,24,129883,0.17443182,4
care,4,86469,0.17166716,4
care,4,43421,0.1706359,5
care,28,17185,0.1695486,3
care,24,369,0.16839114,5
care,28,114000,0.16820735,4
care,16,74517,0.16775969,1
care,20,71644,0.1644863,5
care,24,118460,0.16129725,6
care,4,15617,0.1602414,6
care,20,37381,0.15947534,6
care,20,81177,0.15935059,7
care,24,20055,0.15846148,7
care,12,49469,0.15609664,1
care,16,29355,0.15549918,2
care,24,89959,0.15516946,8
care,28,40233,0.15207347,5
care,24,69927,0.15204126,9
care,16,130669,0.1519492,3
care,24,60921,0.1511809,10
care,20,26609,0.14968818,8
care,28,118156,0.14762393,6
care,28,47018,0.14613101,7
care,20,46371,0.1452916,9
care,12,60267,0.14479345,2
care,28,30885,0.14478543,8
care,20,34162,0.14340352,10
care,28,54738,0.14333057,9
care,8,71996,0.1420742,1
care,8,126574,0.14118655,2
care,8,116630,0.13314757,3
care,28,85517,0.13311318,10
care,8,110169,0.13026512,4
care,12,90585,0.12425309,3
care,8,54735,0.12314001,5
care,12,129124,0.122849874,4
care,16,76937,0.12180829,4
care,4,121733,0.12056856,7
care,16,75716,0.11956237,5
care,4,88013,0.11939919,8
care,4,9225,0.118630394,9
care,8,73340,0.11807934,6
care,8,114824,0.11779984,7
care,4,74112,0.11740193,10
care,16,74972,0.11676752,6
care,16,71792,0.1141496,7
care,16,115848,0.11252232,8
care,8,103194,0.112216614,8
care,16,118744,0.11198957,9
care,8,75950,0.11144588,9
care,12,85881,0.10944465,5
care,8,36484,0.10573799,10
care,16,74312,0.105035834,10
care,12,221,0.09971116,6
care,12,44072,0.09766249,7
care,12,380,0.09581599,8
