Foundation,Layer,Feature_ID,Cosine_Similarity,Cosine_Similarity_Std,Rank_in_Layer
random_baseline,4,-1,0.06906984,0.0036957283,1
random_baseline,4,-1,0.06627343,0.002691306,2
random_baseline,4,-1,0.06439226,0.0022422804,3
random_baseline,4,-1,0.06315854,0.0020777704,4
random_baseline,4,-1,0.062103122,0.0018675115,5
random_baseline,4,-1,0.061335072,0.0017385547,6
random_baseline,4,-1,0.060729608,0.0016210257,7
random_baseline,4,-1,0.060158752,0.001469376,8
random_baseline,4,-1,0.059663862,0.0013045783,9
random_baseline,4,-1,0.059220333,0.0012827783,10
random_baseline,8,-1,0.06865976,0.0037114883,1
random_baseline,8,-1,0.06544795,0.0028189293,2
random_baseline,8,-1,0.06383067,0.0023855935,3
random_baseline,8,-1,0.06283557,0.0021998086,4
random_baseline,8,-1,0.061894756,0.0019325378,5
random_baseline,8,-1,0.061164647,0.0019328921,6
random_baseline,8,-1,0.060655914,0.001884815,7
random_baseline,8,-1,0.060036466,0.0018232566,8
random_baseline,8,-1,0.05954255,0.0017492566,9
random_baseline,8,-1,0.05915039,0.001654499,10
random_baseline,12,-1,0.06965455,0.0043635196,1
random_baseline,12,-1,0.066406086,0.003111348,2
random_baseline,12,-1,0.06439193,0.0024524762,3
random_baseline,12,-1,0.0631986,0.0022708622,4
random_baseline,12,-1,0.062146403,0.002188214,5
random_baseline,12,-1,0.061444987,0.001967477,6
random_baseline,12,-1,0.060892943,0.0017987305,7
random_baseline,12,-1,0.060273115,0.0016907296,8
random_baseline,12,-1,0.05984897,0.0016310944,9
random_baseline,12,-1,0.05941744,0.001548891,10
random_baseline,16,-1,0.06999181,0.004612718,1
random_baseline,16,-1,0.066325806,0.0032149116,2
random_baseline,16,-1,0.064357005,0.0024593747,3
random_baseline,16,-1,0.06296985,0.002035081,4
random_baseline,16,-1,0.062085353,0.0016914954,5
random_baseline,16,-1,0.06138096,0.0015642073,6
random_baseline,16,-1,0.060728483,0.0015123048,7
random_baseline,16,-1,0.060186367,0.0014276495,8
random_baseline,16,-1,0.059666604,0.0014269319,9
random_baseline,16,-1,0.059197698,0.0013657435,10
random_baseline,20,-1,0.06910178,0.0047505694,1
random_baseline,20,-1,0.06556318,0.002986366,2
random_baseline,20,-1,0.06373149,0.00232647,3
random_baseline,20,-1,0.062574595,0.0019287171,4
random_baseline,20,-1,0.061684433,0.0017208664,5
random_baseline,20,-1,0.061060462,0.0016929529,6
random_baseline,20,-1,0.060529385,0.0016522531,7
random_baseline,20,-1,0.060095057,0.0016427,8
random_baseline,20,-1,0.059535176,0.0015837604,9
random_baseline,20,-1,0.059078675,0.0015523671,10
random_baseline,24,-1,0.06895313,0.004329043,1
random_baseline,24,-1,0.06569925,0.002720266,2
random_baseline,24,-1,0.06405605,0.0021685078,3
random_baseline,24,-1,0.06310287,0.001917765,4
random_baseline,24,-1,0.062243734,0.0016243861,5
random_baseline,24,-1,0.061474565,0.0015521738,6
random_baseline,24,-1,0.06089166,0.0015195943,7
random_baseline,24,-1,0.060259975,0.0013613831,8
random_baseline,24,-1,0.05966423,0.0012915657,9
random_baseline,24,-1,0.05925291,0.0012396392,10
random_baseline,28,-1,0.069070265,0.004535093,1
random_baseline,28,-1,0.065667585,0.0027534035,2
random_baseline,28,-1,0.063939944,0.0023723277,3
random_baseline,28,-1,0.06265199,0.0020081806,4
random_baseline,28,-1,0.061718997,0.001713866,5
random_baseline,28,-1,0.06100086,0.0016012145,6
random_baseline,28,-1,0.06046811,0.0014743924,7
random_baseline,28,-1,0.05997201,0.0014285942,8
random_baseline,28,-1,0.059546914,0.001314281,9
random_baseline,28,-1,0.059071682,0.0012950923,10
