Foundation,Layer,Feature_ID,Cosine_Similarity,Cosine_Similarity_Std,Rank_in_Layer
random_baseline,4,-1,0.07367824,0.005144216,1
random_baseline,4,-1,0.06992644,0.0029499994,2
random_baseline,4,-1,0.06802553,0.0022031534,3
random_baseline,4,-1,0.066851646,0.0019788898,4
random_baseline,4,-1,0.065907285,0.001847951,5
random_baseline,4,-1,0.0650476,0.0016558702,6
random_baseline,4,-1,0.064470366,0.001579787,7
random_baseline,4,-1,0.06392764,0.0015156922,8
random_baseline,4,-1,0.06348403,0.0014679619,9
random_baseline,4,-1,0.063087195,0.0014299636,10
random_baseline,8,-1,0.073531106,0.0040340694,1
random_baseline,8,-1,0.07076207,0.003160854,2
random_baseline,8,-1,0.06874332,0.0024335927,3
random_baseline,8,-1,0.067534454,0.00234076,4
random_baseline,8,-1,0.06650036,0.0021261703,5
random_baseline,8,-1,0.06580747,0.0019912552,6
random_baseline,8,-1,0.0651233,0.001887996,7
random_baseline,8,-1,0.064564615,0.0017488525,8
random_baseline,8,-1,0.064079784,0.0015861627,9
random_baseline,8,-1,0.06361348,0.001455303,10
random_baseline,12,-1,0.074372284,0.004770491,1
random_baseline,12,-1,0.07081777,0.0030191962,2
random_baseline,12,-1,0.06887544,0.0025555384,3
random_baseline,12,-1,0.06757031,0.002311323,4
random_baseline,12,-1,0.066542365,0.0021611054,5
random_baseline,12,-1,0.06566331,0.002017874,6
random_baseline,12,-1,0.06498161,0.0018497,7
random_baseline,12,-1,0.064384885,0.0017352174,8
random_baseline,12,-1,0.06389422,0.0016524442,9
random_baseline,12,-1,0.06345848,0.0016211614,10
random_baseline,16,-1,0.07456781,0.0052772597,1
random_baseline,16,-1,0.070811205,0.0035183067,2
random_baseline,16,-1,0.068564035,0.0027243688,3
random_baseline,16,-1,0.06723018,0.0025097076,4
random_baseline,16,-1,0.066316105,0.0023711696,5
random_baseline,16,-1,0.065584034,0.0023006138,6
random_baseline,16,-1,0.06478431,0.002019607,7
random_baseline,16,-1,0.06420438,0.0019296407,8
random_baseline,16,-1,0.06367703,0.0017932401,9
random_baseline,16,-1,0.06325107,0.0017876697,10
random_baseline,20,-1,0.07452004,0.0045223264,1
random_baseline,20,-1,0.070763566,0.0032558541,2
random_baseline,20,-1,0.06884397,0.0025469938,3
random_baseline,20,-1,0.06772953,0.002423672,4
random_baseline,20,-1,0.066736914,0.002301003,5
random_baseline,20,-1,0.06589306,0.0021762091,6
random_baseline,20,-1,0.06523255,0.002000944,7
random_baseline,20,-1,0.06462587,0.0019278142,8
random_baseline,20,-1,0.06406684,0.0017742895,9
random_baseline,20,-1,0.06359651,0.0016839958,10
random_baseline,24,-1,0.07457889,0.0050968505,1
random_baseline,24,-1,0.070859656,0.0033615648,2
random_baseline,24,-1,0.0689954,0.0025467197,3
random_baseline,24,-1,0.06773287,0.0021964295,4
random_baseline,24,-1,0.06663058,0.001979466,5
random_baseline,24,-1,0.065825336,0.0018845984,6
random_baseline,24,-1,0.0651707,0.0017989473,7
random_baseline,24,-1,0.06464167,0.0018457104,8
random_baseline,24,-1,0.06405165,0.001687376,9
random_baseline,24,-1,0.06359404,0.0017132487,10
random_baseline,28,-1,0.07322534,0.003962175,1
random_baseline,28,-1,0.07017357,0.0027445108,2
random_baseline,28,-1,0.06841693,0.0022120494,3
random_baseline,28,-1,0.067316726,0.0021335264,4
random_baseline,28,-1,0.06638038,0.0018745217,5
random_baseline,28,-1,0.06561511,0.001726545,6
random_baseline,28,-1,0.06490134,0.0016565791,7
random_baseline,28,-1,0.06437174,0.0016036604,8
random_baseline,28,-1,0.063879944,0.0014614722,9
random_baseline,28,-1,0.06334435,0.00136842,10
