Layer Ranking for NEGATIVE α (towards Social_norms)
Measuring change in Authority (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      8              +0.149
2      7              +0.103
3      15             -0.092
4      13             +0.090
5      18             -0.087
6      19             -0.071
7      16             -0.068
8      9              +0.059
9      27             +0.051
10     14             +0.051
11     26             +0.051
12     20             -0.048
13     28             +0.047
14     10             +0.045
15     6              +0.042
16     17             -0.040
17     4              -0.040
18     12             +0.039
19     21             -0.036
20     0              -0.036
21     25             +0.036
22     31             +0.034
23     29             +0.029
24     2              +0.028
25     30             +0.027
26     11             -0.024
27     24             +0.023
28     1              +0.013
29     5              +0.007
30     23             +0.006
31     22             -0.002
32     3              +0.002
