Layer Ranking for POSITIVE α (towards Authority)
Measuring change in Authority (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      11             +0.128
2      18             +0.084
3      16             +0.076
4      8              -0.067
5      19             +0.067
6      15             +0.065
7      17             +0.060
8      12             +0.052
9      13             -0.048
10     10             +0.048
11     0              -0.047
12     20             +0.045
13     26             -0.044
14     27             -0.043
15     28             -0.042
16     21             +0.039
17     7              -0.034
18     6              -0.032
19     25             -0.031
20     31             -0.031
21     5              -0.031
22     29             -0.027
23     30             -0.025
24     9              -0.025
25     24             -0.021
26     14             -0.015
27     1              -0.015
28     23             -0.009
29     2              -0.006
30     4              +0.004
31     22             +0.001
32     3              -0.001
