Layer Ranking for NEGATIVE α (towards Authority)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      15           -0.309     +0.774       +0.465
2      16           -0.277     +0.647       +0.370
3      17           -0.258     +0.528       +0.270
4      14           -0.153     +0.340       +0.187
5      18           -0.224     +0.406       +0.182
6      19           -0.220     +0.385       +0.165
7      20           -0.195     +0.321       +0.127
8      9            -0.109     +0.234       +0.125
9      8            -0.116     +0.232       +0.116
10     0            -0.083     +0.189       +0.105
11     21           -0.186     +0.286       +0.100
12     11           -0.060     +0.154       +0.094
13     10           -0.077     +0.149       +0.072
14     2            -0.026     +0.090       +0.064
15     12           -0.076     +0.138       +0.062
16     7            -0.089     +0.145       +0.057
17     22           -0.114     +0.164       +0.050
18     23           -0.098     +0.130       +0.033
19     6            -0.054     +0.080       +0.025
20     13           -0.002     +0.008       +0.006
21     5            -0.029     +0.030       +0.002
22     24           -0.076     +0.070       -0.006
23     1            -0.020     +0.013       -0.007
24     27           -0.052     +0.030       -0.022
25     25           -0.064     +0.039       -0.024
26     31           +0.001     -0.026       -0.025
27     26           -0.058     +0.032       -0.026
28     4            +0.003     -0.035       -0.033
29     28           -0.027     -0.009       -0.036
30     30           -0.007     -0.040       -0.047
31     3            +0.041     -0.090       -0.049
32     29           -0.008     -0.042       -0.050
