Layer Ranking for POSITIVE α (towards Care)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      14           +0.378     -0.191       +0.187
2      9            +0.229     -0.146       +0.083
3      16           +0.619     -0.548       +0.071
4      20           +0.299     -0.231       +0.068
5      11           +0.147     -0.081       +0.066
6      10           +0.211     -0.146       +0.065
7      21           +0.262     -0.207       +0.056
8      12           +0.118     -0.066       +0.052
9      19           +0.332     -0.294       +0.037
10     17           +0.476     -0.445       +0.031
11     22           +0.154     -0.125       +0.029
12     6            +0.139     -0.114       +0.025
13     18           +0.348     -0.325       +0.023
14     15           +0.709     -0.686       +0.023
15     8            +0.183     -0.164       +0.019
16     23           +0.117     -0.114       +0.004
17     13           -0.120     +0.110       -0.010
18     24           +0.065     -0.085       -0.020
19     5            +0.011     -0.034       -0.023
20     31           -0.027     +0.000       -0.026
21     7            +0.124     -0.153       -0.030
22     27           +0.025     -0.055       -0.030
23     25           +0.036     -0.068       -0.032
24     3            -0.044     +0.008       -0.036
25     26           +0.026     -0.062       -0.036
26     28           -0.008     -0.028       -0.037
27     2            -0.039     -0.004       -0.043
28     30           -0.035     -0.012       -0.047
29     29           -0.038     -0.010       -0.048
30     4            -0.083     +0.030       -0.053
31     0            +0.027     -0.118       -0.091
32     1            -0.077     -0.023       -0.100
