Layer Ranking for NEGATIVE α (towards Fairness)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      12           -0.050     +0.334       +0.284
2      15           -0.006     +0.282       +0.276
3      16           -0.022     +0.274       +0.252
4      14           +0.017     +0.234       +0.251
5      13           +0.045     +0.201       +0.246
6      9            -0.002     +0.237       +0.235
7      8            -0.050     +0.226       +0.176
8      11           -0.008     +0.165       +0.157
9      17           -0.062     +0.197       +0.135
10     10           -0.013     +0.118       +0.105
11     2            -0.095     +0.185       +0.090
12     7            -0.046     +0.126       +0.080
13     0            -0.281     +0.354       +0.073
14     4            -0.035     +0.088       +0.054
15     1            -0.130     +0.180       +0.050
16     19           -0.100     +0.145       +0.045
17     18           -0.056     +0.095       +0.038
18     6            -0.085     +0.116       +0.031
19     20           -0.094     +0.115       +0.021
20     3            -0.006     +0.021       +0.016
21     23           -0.040     +0.040       -0.000
22     5            -0.060     +0.057       -0.004
23     22           -0.040     +0.035       -0.006
24     31           -0.009     +0.001       -0.008
25     30           -0.005     -0.012       -0.018
26     21           -0.088     +0.068       -0.020
27     28           -0.016     -0.008       -0.025
28     27           -0.018     -0.009       -0.027
29     24           -0.031     +0.003       -0.028
30     26           -0.023     -0.008       -0.031
31     25           -0.023     -0.011       -0.033
32     29           -0.008     -0.027       -0.034
