Layer Ranking for POSITIVE α (towards Care)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      15           +0.248     +0.048       +0.295
2      14           +0.184     +0.084       +0.268
3      13           +0.068     +0.167       +0.235
4      12           +0.199     +0.031       +0.230
5      16           +0.256     -0.030       +0.226
6      9            +0.194     -0.027       +0.167
7      8            +0.109     -0.016       +0.092
8      11           +0.054     +0.033       +0.087
9      17           +0.125     -0.048       +0.077
10     7            +0.076     +0.001       +0.077
11     10           +0.113     -0.040       +0.073
12     6            +0.077     -0.008       +0.068
13     3            -0.006     +0.024       +0.017
14     19           +0.111     -0.099       +0.012
15     18           +0.052     -0.040       +0.011
16     20           +0.097     -0.088       +0.009
17     5            -0.006     +0.006       -0.000
18     23           +0.038     -0.045       -0.007
19     31           -0.001     -0.008       -0.009
20     2            -0.017     +0.007       -0.010
21     22           +0.026     -0.037       -0.012
22     30           -0.012     -0.006       -0.017
23     21           +0.047     -0.070       -0.023
24     24           +0.009     -0.034       -0.025
25     28           -0.010     -0.016       -0.026
26     27           -0.009     -0.019       -0.028
27     26           -0.007     -0.022       -0.029
28     25           -0.009     -0.023       -0.032
29     29           -0.024     -0.008       -0.032
30     4            -0.051     +0.015       -0.036
31     1            -0.027     -0.014       -0.041
32     0            -0.071     -0.060       -0.131
