Layer Ranking for NEGATIVE α (towards Loyalty)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      15           -0.256     +0.546       +0.290
2      16           -0.229     +0.447       +0.218
3      14           -0.141     +0.316       +0.175
4      17           -0.225     +0.378       +0.153
5      9            -0.091     +0.207       +0.116
6      1            -0.020     +0.116       +0.096
7      18           -0.219     +0.306       +0.087
8      8            -0.084     +0.165       +0.081
9      7            -0.113     +0.187       +0.074
10     0            -0.002     +0.066       +0.065
11     12           -0.056     +0.120       +0.064
12     6            -0.104     +0.168       +0.063
13     19           -0.223     +0.273       +0.050
14     3            -0.008     +0.056       +0.049
15     20           -0.197     +0.230       +0.033
16     13           +0.038     -0.006       +0.031
17     5            -0.014     +0.034       +0.020
18     21           -0.173     +0.189       +0.015
19     4            -0.021     +0.033       +0.013
20     10           -0.051     +0.057       +0.006
21     22           -0.106     +0.103       -0.003
22     2            +0.047     -0.058       -0.011
23     11           +0.022     -0.037       -0.015
24     31           +0.008     -0.026       -0.019
25     23           -0.094     +0.062       -0.032
26     30           -0.000     -0.034       -0.034
27     28           -0.011     -0.024       -0.035
28     29           +0.003     -0.040       -0.038
29     27           -0.017     -0.021       -0.038
30     24           -0.061     +0.013       -0.048
31     26           -0.025     -0.026       -0.050
32     25           -0.039     -0.018       -0.056
