Layer Ranking for POSITIVE α (towards Care)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      14           +0.375     -0.346       +0.029
2      13           -0.041     +0.059       +0.018
3      6            +0.111     -0.097       +0.014
4      8            +0.161     -0.148       +0.014
5      9            +0.128     -0.119       +0.009
6      12           +0.056     -0.063       -0.008
7      31           -0.025     +0.008       -0.017
8      21           +0.157     -0.175       -0.018
9      22           +0.092     -0.113       -0.022
10     7            +0.051     -0.074       -0.024
11     5            -0.027     +0.002       -0.025
12     3            -0.019     -0.010       -0.029
13     4            -0.083     +0.052       -0.032
14     30           -0.029     -0.003       -0.032
15     20           +0.193     -0.225       -0.033
16     10           +0.046     -0.080       -0.034
17     28           -0.025     -0.010       -0.035
18     29           -0.038     +0.002       -0.036
19     16           +0.402     -0.439       -0.036
20     19           +0.229     -0.267       -0.038
21     27           -0.017     -0.021       -0.038
22     18           +0.259     -0.309       -0.050
23     24           +0.012     -0.064       -0.051
24     26           -0.025     -0.028       -0.053
25     23           +0.049     -0.105       -0.056
26     25           -0.017     -0.041       -0.058
27     11           -0.089     +0.030       -0.059
28     15           +0.513     -0.589       -0.076
29     17           +0.334     -0.412       -0.078
30     2            -0.181     +0.065       -0.116
31     1            -0.157     +0.006       -0.151
32     0            -0.035     -0.154       -0.189
