Layer Ranking for NEGATIVE α (towards Sanctity)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      14           -0.143     +0.522       +0.380
2      11           +0.054     +0.281       +0.334
3      12           +0.116     +0.188       +0.304
4      9            +0.102     +0.134       +0.237
5      10           +0.058     +0.078       +0.136
6      15           -0.286     +0.406       +0.120
7      1            -0.032     +0.140       +0.108
8      13           -0.054     +0.153       +0.099
9      3            +0.052     +0.026       +0.078
10     7            +0.030     +0.017       +0.047
11     8            +0.024     +0.005       +0.030
12     4            +0.059     -0.033       +0.026
13     2            -0.129     +0.148       +0.020
14     17           -0.192     +0.193       +0.001
15     5            +0.007     -0.023       -0.016
16     31           -0.002     -0.031       -0.034
17     30           -0.006     -0.032       -0.038
18     29           -0.024     -0.043       -0.067
19     6            -0.129     +0.061       -0.068
20     28           -0.034     -0.044       -0.078
21     0            -0.292     +0.210       -0.081
22     27           -0.026     -0.057       -0.083
23     22           -0.083     -0.016       -0.100
24     23           -0.076     -0.037       -0.113
25     26           -0.038     -0.080       -0.119
26     18           -0.211     +0.071       -0.140
27     25           -0.069     -0.076       -0.144
28     16           -0.435     +0.290       -0.145
29     24           -0.074     -0.073       -0.147
30     19           -0.232     +0.069       -0.163
31     21           -0.190     -0.007       -0.197
32     20           -0.247     +0.035       -0.212
