Layer Ranking for POSITIVE α (towards Care)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      11           +0.197     +0.013       +0.209
2      14           +0.437     -0.229       +0.208
3      12           +0.111     +0.094       +0.205
4      9            +0.165     -0.023       +0.142
5      10           +0.122     +0.001       +0.122
6      15           +0.354     -0.282       +0.072
7      2            +0.055     +0.004       +0.059
8      6            -0.024     +0.076       +0.052
9      13           +0.033     +0.007       +0.039
10     1            +0.046     -0.018       +0.028
11     3            -0.063     +0.075       +0.012
12     5            -0.095     +0.092       -0.003
13     31           -0.031     -0.002       -0.033
14     30           -0.029     -0.005       -0.034
15     0            +0.033     -0.080       -0.046
16     7            -0.110     +0.058       -0.052
17     8            -0.038     -0.017       -0.055
18     29           -0.041     -0.023       -0.064
19     28           -0.044     -0.031       -0.074
20     4            -0.113     +0.036       -0.077
21     27           -0.052     -0.025       -0.078
22     17           +0.144     -0.228       -0.084
23     22           -0.025     -0.082       -0.107
24     26           -0.073     -0.037       -0.110
25     23           -0.037     -0.076       -0.113
26     16           +0.231     -0.346       -0.115
27     25           -0.066     -0.062       -0.128
28     18           +0.063     -0.192       -0.129
29     24           -0.059     -0.072       -0.132
30     19           +0.063     -0.210       -0.147
31     21           -0.005     -0.158       -0.164
32     20           +0.020     -0.201       -0.180
