Layer Ranking for NEGATIVE α (towards Social_norms)
Measuring change in Care (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      15             -0.569
2      16             -0.432
3      0              -0.316
4      17             -0.297
5      11             -0.278
6      18             -0.269
7      19             -0.246
8      1              -0.243
9      13             +0.240
10     2              -0.207
11     20             -0.186
12     21             -0.164
13     14             -0.154
14     31             +0.086
15     28             +0.086
16     26             +0.083
17     30             +0.083
18     29             +0.080
19     27             +0.074
20     25             +0.074
21     9              -0.071
22     10             -0.069
23     6              -0.063
24     22             -0.051
25     24             +0.041
26     4              -0.041
27     7              -0.030
28     3              -0.029
29     23             -0.020
30     12             -0.018
31     8              -0.010
32     5              -0.001
