Layer Ranking for POSITIVE α (towards Care)
Measuring change in Care (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      15             +0.329
2      11             +0.281
3      16             +0.258
4      13             -0.207
5      17             +0.205
6      18             +0.184
7      14             +0.171
8      19             +0.157
9      0              -0.151
10     10             +0.143
11     7              +0.129
12     20             +0.129
13     21             +0.119
14     12             +0.091
15     31             -0.078
16     28             -0.076
17     26             -0.071
18     29             -0.070
19     30             -0.069
20     9              +0.063
21     27             -0.062
22     25             -0.058
23     2              +0.049
24     4              +0.032
25     22             +0.032
26     24             -0.030
27     1              +0.022
28     3              -0.018
29     8              +0.013
30     5              -0.009
31     6              -0.008
32     23             +0.006
