Layer Ranking for NEGATIVE α (towards Social_norms)
Measuring change in Fairness (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      15             -0.419
2      16             -0.355
3      18             -0.288
4      17             -0.264
5      19             -0.258
6      20             -0.219
7      21             -0.196
8      22             -0.127
9      11             -0.127
10     23             -0.095
11     14             -0.087
12     0              -0.072
13     24             -0.066
14     12             +0.053
15     25             -0.049
16     13             +0.036
17     7              -0.026
18     31             +0.026
19     26             -0.023
20     6              -0.022
21     30             +0.020
22     1              -0.014
23     29             +0.012
24     4              -0.011
25     27             -0.010
26     9              -0.009
27     2              -0.008
28     5              -0.007
29     10             -0.007
30     28             +0.006
31     3              -0.006
32     8              +0.005
