Layer Ranking for POSITIVE α (towards Fairness)
Measuring change in Fairness (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      15             +0.337
2      16             +0.291
3      17             +0.258
4      18             +0.255
5      19             +0.204
6      20             +0.165
7      21             +0.154
8      11             +0.143
9      0              -0.143
10     14             +0.128
11     1              -0.107
12     22             +0.092
13     10             +0.083
14     23             +0.074
15     24             +0.054
16     25             +0.043
17     4              -0.041
18     2              -0.036
19     3              -0.035
20     6              -0.032
21     9              +0.029
22     12             +0.024
23     8              -0.023
24     26             +0.023
25     31             -0.019
26     5              -0.018
27     30             -0.014
28     27             +0.013
29     7              -0.011
30     13             -0.010
31     29             -0.008
32     28             -0.004
