Layer Ranking for NEGATIVE α (towards Social_norms)
Measuring change in Loyalty (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      13             +0.163
2      11             -0.132
3      18             -0.126
4      15             -0.125
5      19             -0.112
6      16             -0.110
7      20             -0.083
8      17             -0.082
9      14             +0.082
10     21             -0.078
11     8              +0.072
12     28             +0.045
13     1              -0.043
14     0              -0.042
15     6              +0.039
16     4              -0.038
17     31             +0.036
18     27             +0.032
19     26             +0.031
20     22             -0.031
21     5              -0.031
22     30             +0.029
23     29             +0.027
24     10             -0.027
25     2              -0.024
26     12             +0.023
27     25             +0.016
28     3              +0.012
29     23             -0.011
30     7              +0.007
31     24             +0.006
32     9              -0.001
