Layer Ranking for POSITIVE α (towards Loyalty)
Measuring change in Loyalty (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      11             +0.180
2      15             +0.177
3      16             +0.145
4      18             +0.138
5      17             +0.137
6      19             +0.122
7      21             +0.084
8      20             +0.079
9      0              -0.071
10     10             +0.069
11     6              -0.061
12     8              -0.046
13     7              -0.045
14     12             +0.043
15     1              -0.038
16     13             -0.036
17     28             -0.034
18     2              +0.031
19     5              -0.030
20     31             -0.029
21     26             -0.024
22     3              -0.023
23     27             -0.023
24     22             +0.023
25     29             -0.022
26     30             -0.021
27     14             -0.021
28     9              -0.018
29     25             -0.011
30     4              -0.011
31     24             -0.007
32     23             +0.006
