Layer Ranking for NEGATIVE α (towards Social_norms)
Measuring change in Sanctity (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      18             -0.353
2      19             -0.350
3      20             -0.327
4      21             -0.304
5      15             -0.286
6      16             -0.280
7      17             -0.271
8      22             -0.248
9      23             -0.210
10     24             -0.186
11     13             +0.174
12     25             -0.166
13     5              -0.144
14     14             +0.131
15     11             -0.131
16     26             -0.126
17     2              -0.126
18     27             -0.100
19     6              -0.081
20     1              -0.078
21     12             +0.077
22     28             -0.068
23     10             -0.063
24     3              -0.061
25     29             -0.038
26     4              -0.034
27     7              -0.030
28     0              -0.027
29     8              +0.027
30     30             -0.026
31     31             -0.018
32     9              +0.001
