Layer Ranking for POSITIVE α (towards Sanctity)
Measuring change in Sanctity (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      15             +0.454
2      18             +0.394
3      19             +0.354
4      17             +0.352
5      16             +0.349
6      20             +0.301
7      21             +0.266
8      0              -0.229
9      22             +0.205
10     13             -0.187
11     23             +0.184
12     24             +0.157
13     11             +0.155
14     25             +0.140
15     10             +0.130
16     26             +0.113
17     14             -0.110
18     27             +0.092
19     1              -0.076
20     5              +0.061
21     7              +0.060
22     28             +0.060
23     12             +0.055
24     9              +0.055
25     29             +0.036
26     30             +0.025
27     31             +0.022
28     8              +0.022
29     3              +0.018
30     2              -0.010
31     6              -0.005
32     4              -0.005
