Layer Ranking for NEGATIVE α (towards Care)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      14           +0.833     +0.000       +0.833
2      16           +0.833     -0.167       +0.667
3      17           +0.833     -0.167       +0.667
4      18           +0.667     +0.000       +0.667
5      19           +0.667     +0.000       +0.667
6      9            +0.500     +0.000       +0.500
7      20           +0.500     +0.000       +0.500
8      21           +0.333     +0.000       +0.333
9      15           +0.833     -0.667       +0.167
10     6            +0.167     +0.000       +0.167
11     8            +0.167     +0.000       +0.167
12     10           +0.167     +0.000       +0.167
13     23           +0.167     +0.000       +0.167
14     0            +0.000     +0.000       +0.000
15     2            +0.000     +0.000       +0.000
16     3            +0.000     +0.000       +0.000
17     5            +0.000     +0.000       +0.000
18     7            +0.000     +0.000       +0.000
19     11           +0.000     +0.000       +0.000
20     12           +0.000     +0.000       +0.000
21     22           +0.000     +0.000       +0.000
22     24           -0.167     +0.000       -0.167
23     25           -0.167     +0.000       -0.167
24     26           -0.167     +0.000       -0.167
25     27           -0.167     +0.000       -0.167
26     28           -0.167     +0.000       -0.167
27     29           -0.167     +0.000       -0.167
28     30           -0.167     +0.000       -0.167
29     31           -0.167     +0.000       -0.167
30     1            -0.333     +0.000       -0.333
31     4            -0.333     +0.000       -0.333
32     13           -0.333     +0.000       -0.333
