Layer Ranking for POSITIVE α (towards Authority)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      0            +0.000     +0.500       +0.500
2      21           +0.000     +0.500       +0.500
3      15           -0.333     +0.833       +0.500
4      2            +0.000     +0.333       +0.333
5      6            +0.000     +0.333       +0.333
6      7            +0.000     +0.333       +0.333
7      12           +0.000     +0.333       +0.333
8      14           -0.167     +0.500       +0.333
9      16           -0.333     +0.667       +0.333
10     17           -0.333     +0.667       +0.333
11     18           -0.167     +0.500       +0.333
12     19           -0.167     +0.500       +0.333
13     20           -0.167     +0.500       +0.333
14     22           +0.000     +0.333       +0.333
15     23           +0.000     +0.333       +0.333
16     8            -0.167     +0.333       +0.167
17     9            -0.167     +0.333       +0.167
18     11           -0.167     +0.333       +0.167
19     1            +0.000     +0.000       +0.000
20     3            +0.000     +0.000       +0.000
21     4            +0.000     +0.000       +0.000
22     5            +0.000     +0.000       +0.000
23     10           -0.167     +0.167       +0.000
24     13           +0.000     +0.000       +0.000
25     24           +0.000     +0.000       +0.000
26     25           +0.000     +0.000       +0.000
27     26           +0.000     +0.000       +0.000
28     27           +0.000     +0.000       +0.000
29     28           +0.000     +0.000       +0.000
30     29           +0.000     +0.000       +0.000
31     30           +0.000     +0.000       +0.000
32     31           +0.000     +0.000       +0.000
