Layer Ranking for NEGATIVE α (towards Social_norms)
Measuring change in Authority (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      0              -0.333
2      1              +0.000
3      2              +0.000
4      3              +0.000
5      4              +0.000
6      5              +0.000
7      6              +0.000
8      7              +0.000
9      8              +0.000
10     9              +0.000
11     10             +0.000
12     11             +0.000
13     12             +0.000
14     13             +0.000
15     14             +0.000
16     15             +0.000
17     16             +0.000
18     17             +0.000
19     18             +0.000
20     19             +0.000
21     20             +0.000
22     21             +0.000
23     22             +0.000
24     23             +0.000
25     24             +0.000
26     25             +0.000
27     26             +0.000
28     27             +0.000
29     28             +0.000
30     29             +0.000
31     30             +0.000
32     31             +0.000
