Layer Ranking for POSITIVE α (towards Authority)
Measuring change in Authority (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      9              -0.167
2      10             -0.167
3      12             -0.167
4      13             -0.167
5      14             -0.167
6      15             -0.167
7      16             -0.167
8      17             -0.167
9      18             -0.167
10     19             -0.167
11     20             -0.167
12     21             -0.167
13     22             -0.167
14     23             -0.167
15     24             -0.167
16     25             -0.167
17     0              +0.000
18     1              +0.000
19     2              +0.000
20     3              +0.000
21     4              +0.000
22     5              +0.000
23     6              +0.000
24     7              +0.000
25     8              +0.000
26     11             +0.000
27     26             +0.000
28     27             +0.000
29     28             +0.000
30     29             +0.000
31     30             +0.000
32     31             +0.000
