Layer Ranking for NEGATIVE α (towards Authority)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      0            +0.333     +0.500       +0.833
2      15           -0.333     +1.167       +0.833
3      16           -0.333     +1.167       +0.833
4      17           -0.333     +1.167       +0.833
5      23           +0.000     +0.500       +0.500
6      24           +0.000     +0.500       +0.500
7      9            -0.167     +0.667       +0.500
8      12           -0.333     +0.833       +0.500
9      14           -0.333     +0.833       +0.500
10     18           -0.333     +0.833       +0.500
11     4            +0.000     +0.333       +0.333
12     10           -0.167     +0.500       +0.333
13     19           -0.333     +0.667       +0.333
14     20           -0.333     +0.667       +0.333
15     21           -0.333     +0.667       +0.333
16     22           -0.167     +0.500       +0.333
17     2            +0.000     +0.167       +0.167
18     6            +0.000     +0.167       +0.167
19     11           -0.333     +0.500       +0.167
20     13           -0.333     +0.500       +0.167
21     25           +0.000     +0.167       +0.167
22     26           +0.000     +0.167       +0.167
23     27           +0.000     +0.167       +0.167
24     1            -0.167     +0.333       +0.167
25     3            -0.167     +0.333       +0.167
26     5            -0.167     +0.333       +0.167
27     8            -0.167     +0.333       +0.167
28     7            -0.167     +0.167       +0.000
29     28           +0.000     -0.167       -0.167
30     29           +0.000     -0.167       -0.167
31     30           +0.000     -0.167       -0.167
32     31           +0.000     -0.167       -0.167
