Layer Ranking for POSITIVE α (towards Care)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      15           +0.833     +0.000       +0.833
2      16           +0.833     +0.000       +0.833
3      17           +0.500     +0.000       +0.500
4      14           +0.167     +0.000       +0.167
5      18           +0.167     +0.000       +0.167
6      2            +0.000     +0.000       +0.000
7      3            +0.000     +0.000       +0.000
8      4            +0.000     +0.000       +0.000
9      5            +0.000     +0.000       +0.000
10     6            +0.000     +0.000       +0.000
11     7            +0.000     +0.000       +0.000
12     8            +0.000     +0.000       +0.000
13     9            +0.000     +0.000       +0.000
14     10           +0.000     +0.000       +0.000
15     11           +0.000     +0.000       +0.000
16     12           +0.000     +0.000       +0.000
17     19           +0.000     +0.000       +0.000
18     20           +0.000     +0.000       +0.000
19     21           +0.000     +0.000       +0.000
20     22           +0.000     +0.000       +0.000
21     23           +0.000     +0.000       +0.000
22     24           +0.000     +0.000       +0.000
23     13           -0.167     +0.000       -0.167
24     25           -0.167     +0.000       -0.167
25     26           -0.167     +0.000       -0.167
26     27           -0.167     +0.000       -0.167
27     28           -0.167     +0.000       -0.167
28     29           -0.167     +0.000       -0.167
29     30           -0.167     +0.000       -0.167
30     31           -0.167     +0.000       -0.167
31     0            -0.333     +0.000       -0.333
32     1            -0.333     +0.000       -0.333
