Layer Ranking for NEGATIVE α (towards Authority)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      21           +0.000     +0.500       +0.500
2      1            +0.000     +0.333       +0.333
3      2            +0.000     +0.333       +0.333
4      7            +0.000     +0.333       +0.333
5      11           +0.000     +0.333       +0.333
6      12           +0.000     +0.333       +0.333
7      15           -0.333     +0.667       +0.333
8      16           -0.333     +0.667       +0.333
9      17           -0.167     +0.500       +0.333
10     18           -0.167     +0.500       +0.333
11     19           -0.167     +0.500       +0.333
12     20           +0.000     +0.333       +0.333
13     23           +0.000     +0.333       +0.333
14     10           +0.000     +0.167       +0.167
15     13           +0.000     +0.167       +0.167
16     22           +0.000     +0.167       +0.167
17     9            -0.167     +0.333       +0.167
18     14           -0.167     +0.333       +0.167
19     0            +0.000     +0.000       +0.000
20     3            +0.000     +0.000       +0.000
21     4            +0.000     +0.000       +0.000
22     5            +0.000     +0.000       +0.000
23     6            +0.000     +0.000       +0.000
24     8            -0.167     +0.167       +0.000
25     24           +0.000     +0.000       +0.000
26     25           +0.000     +0.000       +0.000
27     26           +0.000     +0.000       +0.000
28     27           +0.000     +0.000       +0.000
29     28           +0.000     +0.000       +0.000
30     29           +0.000     +0.000       +0.000
31     30           +0.000     +0.000       +0.000
32     31           +0.000     +0.000       +0.000
