Layer Ranking for POSITIVE α (towards Care)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      14           +0.833     +0.000       +0.833
2      16           +0.833     +0.000       +0.833
3      17           +0.833     +0.000       +0.833
4      15           +0.833     -0.167       +0.667
5      8            +0.500     +0.000       +0.500
6      18           +0.333     +0.000       +0.333
7      19           +0.333     +0.000       +0.333
8      20           +0.333     +0.000       +0.333
9      21           +0.333     +0.000       +0.333
10     9            +0.167     +0.000       +0.167
11     10           +0.167     +0.000       +0.167
12     2            +0.000     +0.000       +0.000
13     3            +0.000     +0.000       +0.000
14     4            +0.000     +0.000       +0.000
15     5            +0.000     +0.000       +0.000
16     6            +0.000     +0.000       +0.000
17     7            +0.000     +0.000       +0.000
18     11           +0.000     +0.000       +0.000
19     13           +0.000     +0.000       +0.000
20     22           +0.000     +0.000       +0.000
21     23           +0.000     +0.000       +0.000
22     24           +0.000     +0.000       +0.000
23     0            -0.167     +0.000       -0.167
24     12           -0.167     +0.000       -0.167
25     25           -0.167     +0.000       -0.167
26     26           -0.167     +0.000       -0.167
27     27           -0.167     +0.000       -0.167
28     28           -0.167     +0.000       -0.167
29     29           -0.167     +0.000       -0.167
30     30           -0.167     +0.000       -0.167
31     31           -0.167     +0.000       -0.167
32     1            -0.333     +0.000       -0.333
