Layer Ranking for NEGATIVE α (towards Authority)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      21           +0.000     +0.500       +0.500
2      22           +0.000     +0.500       +0.500
3      23           +0.000     +0.500       +0.500
4      0            +0.000     +0.333       +0.333
5      5            +0.000     +0.333       +0.333
6      12           +0.000     +0.333       +0.333
7      13           -0.167     +0.500       +0.333
8      16           -0.333     +0.667       +0.333
9      24           +0.000     +0.333       +0.333
10     25           +0.000     +0.333       +0.333
11     26           +0.000     +0.333       +0.333
12     2            +0.000     +0.167       +0.167
13     3            +0.000     +0.167       +0.167
14     7            +0.000     +0.167       +0.167
15     8            +0.000     +0.167       +0.167
16     9            +0.000     +0.167       +0.167
17     10           +0.000     +0.167       +0.167
18     11           +0.000     +0.167       +0.167
19     15           -0.333     +0.500       +0.167
20     18           -0.333     +0.500       +0.167
21     30           +0.000     +0.167       +0.167
22     31           +0.000     +0.167       +0.167
23     1            +0.000     +0.000       +0.000
24     4            +0.000     +0.000       +0.000
25     6            +0.000     +0.000       +0.000
26     27           +0.000     +0.000       +0.000
27     28           +0.000     +0.000       +0.000
28     29           +0.000     +0.000       +0.000
29     20           +0.000     -0.167       -0.167
30     19           +0.000     -0.333       -0.333
31     14           +0.000     -0.500       -0.500
32     17           +0.000     -0.833       -0.833
