Layer Ranking for POSITIVE α (towards Care)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      15           +0.833     -0.167       +0.667
2      16           +0.833     -0.167       +0.667
3      18           +0.667     +0.000       +0.667
4      13           +0.500     +0.000       +0.500
5      12           +0.167     +0.000       +0.167
6      21           +0.167     +0.000       +0.167
7      22           +0.167     +0.000       +0.167
8      23           +0.167     +0.000       +0.167
9      5            +0.000     +0.000       +0.000
10     6            +0.000     +0.000       +0.000
11     9            +0.000     +0.000       +0.000
12     10           +0.000     +0.000       +0.000
13     11           +0.000     +0.000       +0.000
14     24           +0.000     +0.000       +0.000
15     30           +0.000     +0.000       +0.000
16     31           +0.000     +0.000       +0.000
17     0            -0.333     +0.167       -0.167
18     7            -0.167     +0.000       -0.167
19     17           -0.500     +0.333       -0.167
20     25           -0.167     +0.000       -0.167
21     26           -0.167     +0.000       -0.167
22     27           -0.167     +0.000       -0.167
23     28           -0.167     +0.000       -0.167
24     29           -0.167     +0.000       -0.167
25     1            -0.333     +0.000       -0.333
26     3            -0.333     +0.000       -0.333
27     4            -0.333     +0.000       -0.333
28     8            -0.333     +0.000       -0.333
29     2            -0.500     +0.000       -0.500
30     14           -0.500     +0.000       -0.500
31     19           -0.500     +0.000       -0.500
32     20           -0.500     +0.000       -0.500
