Layer Ranking for NEGATIVE α (towards Fairness)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      2            +0.000     +0.500       +0.500
2      13           -0.167     +0.500       +0.333
3      6            +0.000     +0.333       +0.333
4      12           -0.250     +0.500       +0.250
5      1            -0.083     +0.333       +0.250
6      7            -0.083     +0.333       +0.250
7      8            -0.083     +0.333       +0.250
8      9            -0.083     +0.333       +0.250
9      11           -0.083     +0.333       +0.250
10     14           -0.083     +0.333       +0.250
11     15           -0.083     +0.333       +0.250
12     16           -0.083     +0.333       +0.250
13     19           -0.083     +0.333       +0.250
14     20           -0.083     +0.333       +0.250
15     5            +0.000     +0.167       +0.167
16     0            -0.417     +0.500       +0.083
17     4            -0.083     +0.167       +0.083
18     10           -0.083     +0.167       +0.083
19     17           -0.083     +0.167       +0.083
20     18           -0.083     +0.167       +0.083
21     3            +0.000     +0.000       +0.000
22     23           +0.000     +0.000       +0.000
23     24           +0.000     +0.000       +0.000
24     25           +0.000     +0.000       +0.000
25     26           +0.000     +0.000       +0.000
26     27           +0.000     +0.000       +0.000
27     28           +0.000     +0.000       +0.000
28     29           +0.000     +0.000       +0.000
29     30           +0.000     +0.000       +0.000
30     22           -0.083     +0.000       -0.083
31     31           -0.083     +0.000       -0.083
32     21           -0.167     +0.000       -0.167
