Layer Ranking for POSITIVE α (towards Care)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      15           +0.833     -0.083       +0.750
2      14           +0.500     +0.167       +0.667
3      13           +0.000     +0.500       +0.500
4      12           +0.333     +0.083       +0.417
5      16           +0.500     -0.083       +0.417
6      9            +0.167     +0.000       +0.167
7      4            +0.000     +0.083       +0.083
8      5            +0.000     +0.083       +0.083
9      6            +0.000     +0.083       +0.083
10     11           +0.000     +0.083       +0.083
11     21           +0.000     +0.083       +0.083
12     23           +0.000     +0.083       +0.083
13     24           +0.000     +0.083       +0.083
14     25           +0.000     +0.083       +0.083
15     28           +0.000     +0.083       +0.083
16     30           +0.000     +0.083       +0.083
17     17           +0.167     -0.083       +0.083
18     1            +0.000     +0.000       +0.000
19     3            +0.000     +0.000       +0.000
20     7            +0.000     +0.000       +0.000
21     8            +0.000     +0.000       +0.000
22     10           +0.000     +0.000       +0.000
23     18           +0.000     +0.000       +0.000
24     19           +0.000     +0.000       +0.000
25     20           +0.000     +0.000       +0.000
26     22           +0.000     +0.000       +0.000
27     31           +0.000     +0.000       +0.000
28     2            -0.167     +0.083       -0.083
29     26           -0.167     +0.083       -0.083
30     27           -0.167     +0.083       -0.083
31     29           -0.167     +0.083       -0.083
32     0            -0.333     +0.083       -0.250
