Layer Ranking for NEGATIVE α (towards Loyalty)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      12           +0.000     +0.500       +0.500
2      14           +0.000     +0.500       +0.500
3      15           +0.000     +0.500       +0.500
4      16           +0.000     +0.500       +0.500
5      17           +0.000     +0.500       +0.500
6      18           +0.000     +0.500       +0.500
7      19           +0.000     +0.500       +0.500
8      20           +0.000     +0.500       +0.500
9      21           +0.000     +0.500       +0.500
10     0            +0.000     +0.333       +0.333
11     1            +0.000     +0.333       +0.333
12     6            +0.000     +0.333       +0.333
13     7            +0.000     +0.333       +0.333
14     8            +0.000     +0.333       +0.333
15     9            +0.000     +0.333       +0.333
16     22           +0.000     +0.333       +0.333
17     3            +0.000     +0.167       +0.167
18     4            +0.000     +0.167       +0.167
19     5            +0.000     +0.167       +0.167
20     10           +0.000     +0.167       +0.167
21     13           +0.000     +0.167       +0.167
22     2            +0.000     +0.000       +0.000
23     11           +0.000     +0.000       +0.000
24     23           +0.000     +0.000       +0.000
25     24           +0.000     +0.000       +0.000
26     25           +0.000     +0.000       +0.000
27     26           +0.000     +0.000       +0.000
28     27           +0.000     +0.000       +0.000
29     28           +0.000     +0.000       +0.000
30     29           +0.000     +0.000       +0.000
31     30           +0.000     +0.000       +0.000
32     31           +0.000     +0.000       +0.000
