Layer Ranking for POSITIVE α (towards Care)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      14           +0.833     -0.167       +0.667
2      17           +0.667     -0.167       +0.500
3      15           +0.833     -0.667       +0.167
4      18           +0.333     -0.167       +0.167
5      8            +0.167     +0.000       +0.167
6      9            +0.167     +0.000       +0.167
7      16           +0.667     -0.500       +0.167
8      19           +0.167     +0.000       +0.167
9      20           +0.167     +0.000       +0.167
10     21           +0.167     +0.000       +0.167
11     0            +0.000     +0.000       +0.000
12     3            +0.000     +0.000       +0.000
13     5            +0.000     +0.000       +0.000
14     6            +0.000     +0.000       +0.000
15     7            +0.000     +0.000       +0.000
16     10           +0.000     +0.000       +0.000
17     12           +0.000     +0.000       +0.000
18     22           +0.000     +0.000       +0.000
19     11           -0.167     +0.000       -0.167
20     13           -0.167     +0.000       -0.167
21     23           -0.167     +0.000       -0.167
22     24           -0.167     +0.000       -0.167
23     25           -0.167     +0.000       -0.167
24     26           -0.167     +0.000       -0.167
25     27           -0.167     +0.000       -0.167
26     28           -0.167     +0.000       -0.167
27     29           -0.167     +0.000       -0.167
28     30           -0.167     +0.000       -0.167
29     31           -0.167     +0.000       -0.167
30     1            -0.333     +0.000       -0.333
31     2            -0.333     +0.000       -0.333
32     4            -0.333     +0.000       -0.333
