Layer Ranking for NEGATIVE α (towards Sanctity)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      12           +0.167     +0.500       +0.667
2      11           +0.000     +0.500       +0.500
3      13           +0.000     +0.500       +0.500
4      14           +0.000     +0.500       +0.500
5      9            +0.000     +0.333       +0.333
6      8            +0.000     +0.167       +0.167
7      10           +0.000     +0.167       +0.167
8      15           -0.333     +0.500       +0.167
9      16           -0.333     +0.500       +0.167
10     17           -0.333     +0.500       +0.167
11     3            +0.167     +0.000       +0.167
12     1            -0.333     +0.333       +0.000
13     2            -0.333     +0.333       +0.000
14     4            +0.000     +0.000       +0.000
15     5            +0.000     +0.000       +0.000
16     6            -0.333     +0.333       +0.000
17     7            +0.000     +0.000       +0.000
18     22           +0.000     +0.000       +0.000
19     23           +0.000     +0.000       +0.000
20     26           +0.000     +0.000       +0.000
21     27           +0.000     +0.000       +0.000
22     28           +0.000     +0.000       +0.000
23     29           +0.000     +0.000       +0.000
24     30           +0.000     +0.000       +0.000
25     31           +0.000     +0.000       +0.000
26     18           -0.333     +0.167       -0.167
27     19           -0.333     +0.167       -0.167
28     20           -0.333     +0.167       -0.167
29     24           -0.167     +0.000       -0.167
30     25           -0.167     +0.000       -0.167
31     0            -0.667     +0.333       -0.333
32     21           -0.333     -0.167       -0.500
