Layer Ranking for POSITIVE α (towards Care)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      12           +0.000     +0.500       +0.500
2      9            +0.167     +0.333       +0.500
3      10           +0.167     +0.333       +0.500
4      11           +0.167     +0.333       +0.500
5      14           +0.667     -0.167       +0.500
6      15           +0.500     -0.333       +0.167
7      1            +0.000     +0.000       +0.000
8      2            +0.000     +0.000       +0.000
9      6            +0.000     +0.000       +0.000
10     8            +0.000     +0.000       +0.000
11     16           +0.333     -0.333       +0.000
12     30           +0.000     +0.000       +0.000
13     31           +0.000     +0.000       +0.000
14     0            +0.000     -0.167       -0.167
15     18           +0.000     -0.167       -0.167
16     19           +0.000     -0.167       -0.167
17     20           +0.000     -0.167       -0.167
18     3            -0.167     +0.000       -0.167
19     13           -0.167     +0.000       -0.167
20     17           +0.167     -0.333       -0.167
21     27           -0.167     +0.000       -0.167
22     28           -0.167     +0.000       -0.167
23     29           -0.167     +0.000       -0.167
24     4            -0.333     +0.000       -0.333
25     5            -0.333     +0.000       -0.333
26     7            -0.333     +0.000       -0.333
27     21           -0.167     -0.167       -0.333
28     22           -0.167     -0.167       -0.333
29     23           -0.167     -0.167       -0.333
30     24           -0.167     -0.167       -0.333
31     25           -0.167     -0.167       -0.333
32     26           -0.167     -0.167       -0.333
