Layer Ranking for NEGATIVE α (towards Social_norms)
Measuring change in Care (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      0              -0.500
2      1              -0.500
3      11             -0.500
4      14             -0.500
5      15             -0.500
6      16             -0.500
7      17             -0.500
8      18             -0.500
9      19             -0.500
10     20             -0.500
11     21             -0.500
12     13             +0.500
13     2              -0.333
14     10             -0.333
15     4              -0.167
16     8              -0.167
17     9              -0.167
18     24             +0.167
19     25             +0.167
20     26             +0.167
21     3              +0.000
22     5              +0.000
23     6              +0.000
24     7              +0.000
25     12             +0.000
26     22             +0.000
27     23             +0.000
28     27             +0.000
29     28             +0.000
30     29             +0.000
31     30             +0.000
32     31             +0.000
