Layer Ranking for POSITIVE α (towards Care)
Measuring change in Care (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      0              -0.333
2      11             +0.333
3      1              -0.167
4      13             -0.167
5      22             -0.167
6      23             -0.167
7      24             -0.167
8      25             -0.167
9      26             -0.167
10     27             -0.167
11     28             -0.167
12     29             -0.167
13     30             -0.167
14     31             -0.167
15     10             +0.167
16     12             +0.167
17     14             +0.167
18     15             +0.167
19     16             +0.167
20     17             +0.167
21     18             +0.167
22     19             +0.167
23     20             +0.167
24     21             +0.167
25     2              +0.000
26     3              +0.000
27     4              +0.000
28     5              +0.000
29     6              +0.000
30     7              +0.000
31     8              +0.000
32     9              +0.000
