Layer Ranking for NEGATIVE α (towards Authority)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      19           +0.000     +0.417       +0.417
2      20           +0.000     +0.333       +0.333
3      21           +0.000     +0.333       +0.333
4      22           +0.000     +0.250       +0.250
5      23           +0.000     +0.250       +0.250
6      18           -0.167     +0.417       +0.250
7      14           +0.000     +0.167       +0.167
8      2            +0.000     +0.083       +0.083
9      3            +0.000     +0.083       +0.083
10     5            +0.000     +0.083       +0.083
11     6            +0.000     +0.083       +0.083
12     7            +0.000     +0.083       +0.083
13     8            +0.000     +0.083       +0.083
14     9            +0.000     +0.083       +0.083
15     10           +0.000     +0.083       +0.083
16     11           +0.000     +0.083       +0.083
17     16           -0.333     +0.417       +0.083
18     1            +0.000     +0.000       +0.000
19     4            +0.000     +0.000       +0.000
20     12           +0.000     +0.000       +0.000
21     15           -0.333     +0.333       +0.000
22     24           +0.000     +0.000       +0.000
23     25           +0.000     +0.000       +0.000
24     26           +0.000     +0.000       +0.000
25     27           +0.000     +0.000       +0.000
26     28           +0.000     +0.000       +0.000
27     29           +0.000     +0.000       +0.000
28     30           +0.000     +0.000       +0.000
29     31           +0.000     +0.000       +0.000
30     0            -0.333     +0.250       -0.083
31     13           +0.000     -0.083       -0.083
32     17           -0.333     +0.250       -0.083
