Layer Ranking for POSITIVE α (towards Fairness)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      17           +0.333     +0.000       +0.333
2      18           +0.250     +0.000       +0.250
3      16           +0.333     -0.167       +0.167
4      19           +0.167     +0.000       +0.167
5      14           +0.083     +0.000       +0.083
6      20           +0.083     +0.000       +0.083
7      21           +0.083     +0.000       +0.083
8      2            +0.000     +0.000       +0.000
9      3            +0.000     +0.000       +0.000
10     7            +0.000     +0.000       +0.000
11     8            +0.000     +0.000       +0.000
12     9            +0.000     +0.000       +0.000
13     10           +0.000     +0.000       +0.000
14     11           +0.000     +0.000       +0.000
15     22           +0.000     +0.000       +0.000
16     23           +0.000     +0.000       +0.000
17     4            -0.083     +0.000       -0.083
18     6            -0.083     +0.000       -0.083
19     15           +0.417     -0.500       -0.083
20     24           -0.083     +0.000       -0.083
21     25           -0.083     +0.000       -0.083
22     26           -0.083     +0.000       -0.083
23     27           -0.083     +0.000       -0.083
24     28           -0.083     +0.000       -0.083
25     29           -0.083     +0.000       -0.083
26     30           -0.083     +0.000       -0.083
27     31           -0.083     +0.000       -0.083
28     5            -0.167     +0.000       -0.167
29     12           -0.167     +0.000       -0.167
30     13           -0.167     +0.000       -0.167
31     1            -0.250     +0.000       -0.250
32     0            -0.417     +0.000       -0.417
