Layer Ranking for NEGATIVE α (towards Loyalty)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      15           +0.000     +0.583       +0.583
2      16           +0.000     +0.417       +0.417
3      17           +0.000     +0.417       +0.417
4      18           +0.000     +0.417       +0.417
5      14           +0.000     +0.333       +0.333
6      21           +0.000     +0.333       +0.333
7      19           +0.000     +0.250       +0.250
8      20           +0.000     +0.250       +0.250
9      22           +0.000     +0.167       +0.167
10     0            +0.000     +0.083       +0.083
11     2            +0.000     +0.083       +0.083
12     3            +0.000     +0.083       +0.083
13     4            +0.000     +0.083       +0.083
14     5            +0.000     +0.083       +0.083
15     9            +0.000     +0.083       +0.083
16     10           +0.000     +0.083       +0.083
17     23           +0.000     +0.083       +0.083
18     1            +0.000     +0.000       +0.000
19     6            +0.000     +0.000       +0.000
20     7            +0.000     +0.000       +0.000
21     8            +0.000     +0.000       +0.000
22     11           +0.000     +0.000       +0.000
23     12           +0.000     +0.000       +0.000
24     13           +0.000     +0.000       +0.000
25     24           +0.000     +0.000       +0.000
26     25           +0.000     +0.000       +0.000
27     26           +0.000     +0.000       +0.000
28     27           +0.000     +0.000       +0.000
29     28           +0.000     +0.000       +0.000
30     29           +0.000     +0.000       +0.000
31     30           +0.000     +0.000       +0.000
32     31           +0.000     +0.000       +0.000
