Layer Ranking for POSITIVE α (towards Fairness)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      20           +0.083     +0.000       +0.083
2      21           +0.083     +0.000       +0.083
3      3            +0.000     +0.000       +0.000
4      16           +0.167     -0.167       +0.000
5      17           +0.167     -0.167       +0.000
6      18           +0.167     -0.167       +0.000
7      19           +0.000     +0.000       +0.000
8      4            -0.083     +0.000       -0.083
9      5            -0.083     +0.000       -0.083
10     6            -0.083     +0.000       -0.083
11     7            -0.083     +0.000       -0.083
12     8            -0.083     +0.000       -0.083
13     9            -0.083     +0.000       -0.083
14     10           -0.083     +0.000       -0.083
15     11           -0.083     +0.000       -0.083
16     12           -0.083     +0.000       -0.083
17     13           -0.083     +0.000       -0.083
18     22           -0.083     +0.000       -0.083
19     23           -0.083     +0.000       -0.083
20     24           -0.083     +0.000       -0.083
21     25           -0.083     +0.000       -0.083
22     26           -0.083     +0.000       -0.083
23     27           -0.083     +0.000       -0.083
24     28           -0.083     +0.000       -0.083
25     29           -0.083     +0.000       -0.083
26     30           -0.083     +0.000       -0.083
27     31           -0.083     +0.000       -0.083
28     14           +0.000     -0.167       -0.167
29     1            -0.250     +0.000       -0.250
30     2            -0.250     +0.000       -0.250
31     15           +0.250     -0.500       -0.250
32     0            -0.333     +0.000       -0.333
