Layer Ranking for NEGATIVE α (towards Sanctity)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      5            +0.000     +0.083       +0.083
2      1            +0.000     +0.000       +0.000
3      2            +0.000     +0.000       +0.000
4      3            +0.000     +0.000       +0.000
5      4            +0.000     +0.000       +0.000
6      10           +0.000     +0.000       +0.000
7      22           +0.000     +0.000       +0.000
8      23           +0.000     +0.000       +0.000
9      24           +0.000     +0.000       +0.000
10     25           +0.000     +0.000       +0.000
11     26           +0.000     +0.000       +0.000
12     27           +0.000     +0.000       +0.000
13     28           +0.000     +0.000       +0.000
14     29           +0.000     +0.000       +0.000
15     30           +0.000     +0.000       +0.000
16     31           +0.000     +0.000       +0.000
17     13           -0.500     +0.417       -0.083
18     21           +0.000     -0.083       -0.083
19     14           -0.667     +0.500       -0.167
20     0            -0.500     +0.250       -0.250
21     9            -0.333     +0.083       -0.250
22     17           -0.333     +0.083       -0.250
23     18           -0.333     +0.083       -0.250
24     19           -0.333     +0.083       -0.250
25     6            -0.333     +0.000       -0.333
26     7            -0.333     +0.000       -0.333
27     11           -0.333     +0.000       -0.333
28     12           -0.333     +0.000       -0.333
29     20           -0.333     +0.000       -0.333
30     8            -0.333     -0.083       -0.417
31     15           -0.833     +0.417       -0.417
32     16           -0.667     +0.167       -0.500
