Layer Ranking for POSITIVE α (towards Fairness)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      2            +0.000     +0.333       +0.333
2      1            -0.083     +0.333       +0.250
3      5            -0.083     +0.333       +0.250
4      0            +0.000     +0.000       +0.000
5      3            +0.000     +0.000       +0.000
6      30           +0.000     +0.000       +0.000
7      14           +0.083     -0.167       -0.083
8      4            -0.083     +0.000       -0.083
9      6            -0.083     +0.000       -0.083
10     7            -0.083     +0.000       -0.083
11     10           -0.083     +0.000       -0.083
12     11           -0.083     +0.000       -0.083
13     21           -0.083     +0.000       -0.083
14     22           -0.083     +0.000       -0.083
15     23           -0.083     +0.000       -0.083
16     24           -0.083     +0.000       -0.083
17     25           -0.083     +0.000       -0.083
18     26           -0.083     +0.000       -0.083
19     27           -0.083     +0.000       -0.083
20     28           -0.083     +0.000       -0.083
21     29           -0.083     +0.000       -0.083
22     31           -0.083     +0.000       -0.083
23     12           -0.167     +0.000       -0.167
24     15           +0.000     -0.167       -0.167
25     16           +0.000     -0.167       -0.167
26     17           +0.000     -0.167       -0.167
27     8            -0.083     -0.167       -0.250
28     9            -0.083     -0.167       -0.250
29     13           -0.083     -0.167       -0.250
30     18           -0.083     -0.167       -0.250
31     19           -0.083     -0.167       -0.250
32     20           -0.083     -0.167       -0.250
