Layer Ranking for NEGATIVE α (towards Social_norms)
Measuring change in Fairness (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      15             -0.500
2      16             -0.417
3      0              -0.250
4      17             -0.250
5      18             -0.250
6      19             -0.250
7      20             -0.250
8      21             -0.250
9      14             -0.167
10     22             -0.167
11     23             -0.167
12     24             -0.167
13     25             -0.167
14     4              -0.083
15     5              -0.083
16     6              -0.083
17     9              -0.083
18     11             -0.083
19     12             +0.083
20     13             +0.083
21     1              +0.000
22     2              +0.000
23     3              +0.000
24     7              +0.000
25     8              +0.000
26     10             +0.000
27     26             +0.000
28     27             +0.000
29     28             +0.000
30     29             +0.000
31     30             +0.000
32     31             +0.000
