Layer Ranking for POSITIVE α (towards Fairness)
Measuring change in Fairness (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      1              -0.167
2      15             +0.167
3      0              -0.083
4      4              -0.083
5      7              -0.083
6      8              -0.083
7      9              -0.083
8      10             -0.083
9      12             -0.083
10     13             -0.083
11     14             +0.083
12     16             +0.083
13     17             +0.083
14     18             +0.083
15     22             -0.083
16     23             -0.083
17     24             -0.083
18     25             -0.083
19     26             -0.083
20     27             -0.083
21     28             -0.083
22     29             -0.083
23     30             -0.083
24     31             -0.083
25     2              +0.000
26     3              +0.000
27     5              +0.000
28     6              +0.000
29     11             +0.000
30     19             +0.000
31     20             +0.000
32     21             +0.000
