Layer Ranking for NEGATIVE α (towards Sanctity)
======================================================================

Rank   Layer           Δ_B        Δ_A     Combined
----------------------------------------------------------------------
1      10           +0.167     +0.000       +0.167
2      18           +0.167     +0.000       +0.167
3      19           +0.167     +0.000       +0.167
4      20           +0.167     +0.000       +0.167
5      21           +0.167     +0.000       +0.167
6      22           +0.167     +0.000       +0.167
7      3            +0.000     +0.000       +0.000
8      4            +0.000     +0.000       +0.000
9      11           +0.000     +0.000       +0.000
10     16           +0.000     +0.000       +0.000
11     23           +0.000     +0.000       +0.000
12     24           +0.000     +0.000       +0.000
13     25           +0.000     +0.000       +0.000
14     26           +0.000     +0.000       +0.000
15     27           +0.000     +0.000       +0.000
16     28           +0.000     +0.000       +0.000
17     29           +0.000     +0.000       +0.000
18     30           +0.000     +0.000       +0.000
19     31           +0.000     +0.000       +0.000
20     15           +0.000     -0.167       -0.167
21     12           -0.167     +0.000       -0.167
22     0            -0.333     +0.000       -0.333
23     1            -0.333     +0.000       -0.333
24     2            -0.333     +0.000       -0.333
25     5            -0.333     +0.000       -0.333
26     6            -0.333     +0.000       -0.333
27     7            -0.333     +0.000       -0.333
28     8            -0.333     +0.000       -0.333
29     9            -0.333     +0.000       -0.333
30     17           -0.333     +0.000       -0.333
31     13           -0.500     +0.000       -0.500
32     14           -0.500     +0.000       -0.500
