Layer Ranking for POSITIVE α (towards Loyalty)
======================================================================

Rank   Layer           Δ_A        Δ_B     Combined
----------------------------------------------------------------------
1      1            +0.000     +0.333       +0.333
2      19           +0.000     +0.167       +0.167
3      20           +0.000     +0.167       +0.167
4      21           +0.000     +0.167       +0.167
5      22           +0.000     +0.167       +0.167
6      2            +0.000     +0.000       +0.000
7      3            +0.000     +0.000       +0.000
8      4            +0.000     +0.000       +0.000
9      5            +0.000     +0.000       +0.000
10     6            +0.000     +0.000       +0.000
11     7            +0.000     +0.000       +0.000
12     8            +0.000     +0.000       +0.000
13     10           +0.000     +0.000       +0.000
14     11           +0.000     +0.000       +0.000
15     12           +0.000     +0.000       +0.000
16     15           +0.000     +0.000       +0.000
17     16           +0.000     +0.000       +0.000
18     17           +0.000     +0.000       +0.000
19     18           +0.000     +0.000       +0.000
20     23           +0.000     +0.000       +0.000
21     24           +0.000     +0.000       +0.000
22     25           +0.000     +0.000       +0.000
23     26           +0.000     +0.000       +0.000
24     27           +0.000     +0.000       +0.000
25     28           +0.000     +0.000       +0.000
26     29           +0.000     +0.000       +0.000
27     30           +0.000     +0.000       +0.000
28     31           +0.000     +0.000       +0.000
29     0            +0.000     -0.167       -0.167
30     9            +0.000     -0.167       -0.167
31     13           +0.000     -0.167       -0.167
32     14           +0.000     -0.167       -0.167
