Layer Ranking for POSITIVE α (towards Loyalty)
Measuring change in Loyalty (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      15             +0.333
2      16             +0.167
3      17             +0.167
4      18             +0.167
5      19             +0.167
6      0              +0.000
7      1              +0.000
8      2              +0.000
9      3              +0.000
10     4              +0.000
11     5              +0.000
12     6              +0.000
13     7              +0.000
14     8              +0.000
15     9              +0.000
16     10             +0.000
17     11             +0.000
18     12             +0.000
19     13             +0.000
20     14             +0.000
21     20             +0.000
22     21             +0.000
23     22             +0.000
24     23             +0.000
25     24             +0.000
26     25             +0.000
27     26             +0.000
28     27             +0.000
29     28             +0.000
30     29             +0.000
31     30             +0.000
32     31             +0.000
