Layer Ranking for NEGATIVE α (towards Social_norms)
Measuring change in Sanctity (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      19             -0.500
2      1              -0.333
3      2              -0.333
4      5              -0.333
5      10             -0.333
6      11             -0.333
7      16             -0.333
8      17             -0.333
9      18             -0.333
10     20             -0.333
11     21             -0.333
12     22             -0.333
13     23             -0.333
14     24             -0.333
15     25             -0.333
16     26             -0.333
17     27             -0.333
18     28             -0.333
19     0              +0.000
20     3              +0.000
21     4              +0.000
22     6              +0.000
23     7              +0.000
24     8              +0.000
25     9              +0.000
26     12             +0.000
27     13             +0.000
28     14             +0.000
29     15             +0.000
30     29             +0.000
31     30             +0.000
32     31             +0.000
