Layer Ranking for POSITIVE α (towards Sanctity)
Measuring change in Sanctity (MFQ)
======================================================================

Rank   Layer               Δ
----------------------------------------------------------------------
1      0              -0.500
2      15             +0.500
3      1              -0.333
4      13             -0.333
5      14             -0.333
6      16             +0.333
7      17             +0.333
8      18             +0.333
9      19             +0.333
10     20             +0.333
11     9              +0.167
12     10             +0.167
13     11             +0.167
14     21             +0.167
15     22             +0.167
16     23             +0.167
17     24             +0.167
18     25             +0.167
19     26             +0.167
20     27             +0.167
21     2              +0.000
22     3              +0.000
23     4              +0.000
24     5              +0.000
25     6              +0.000
26     7              +0.000
27     8              +0.000
28     12             +0.000
29     28             +0.000
30     29             +0.000
31     30             +0.000
32     31             +0.000
